match_id,over,batter,batsman_runs,season
335998,1,G Gambhir,4,2007/08
335998,1,G Gambhir,4,2007/08
335998,2,G Gambhir,4,2007/08
335998,2,G Gambhir,4,2007/08
335998,3,V Sehwag,4,2007/08
335998,3,V Sehwag,4,2007/08
335998,4,V Sehwag,4,2007/08
335998,5,S Dhawan,4,2007/08
335998,6,S Dhawan,4,2007/08
335998,6,S Dhawan,4,2007/08
335998,9,G Gambhir,4,2007/08
335998,9,G Gambhir,4,2007/08
335998,11,S Dhawan,4,2007/08
335998,12,G Gambhir,4,2007/08
335998,13,G Gambhir,4,2007/08
335998,14,G Gambhir,4,2007/08
335998,15,Shoaib Malik,4,2007/08
335998,17,MK Tiwary,4,2007/08
335998,17,G Gambhir,4,2007/08
335998,18,R Bhatia,4,2007/08
335998,0,P Kumar,4,2007/08
335998,1,LRPL Taylor,4,2007/08
335998,1,LRPL Taylor,4,2007/08
335998,4,LRPL Taylor,4,2007/08
335998,5,JH Kallis,4,2007/08
335998,8,R Dravid,4,2007/08
335998,9,JH Kallis,4,2007/08
335998,9,R Dravid,4,2007/08
335998,10,R Dravid,4,2007/08
335998,10,R Dravid,4,2007/08
335998,10,JH Kallis,4,2007/08
335998,12,JH Kallis,0,2007/08
335998,12,JH Kallis,4,2007/08
335998,15,MV Boucher,4,2007/08
335998,17,JH Kallis,4,2007/08
335998,17,JH Kallis,4,2007/08
335998,19,MV Boucher,4,2007/08
335999,0,VVS Laxman,4,2007/08
335999,1,VVS Laxman,4,2007/08
335999,1,VVS Laxman,4,2007/08
335999,2,VVS Laxman,4,2007/08
335999,4,VVS Laxman,4,2007/08
335999,5,VVS Laxman,4,2007/08
335999,5,VVS Laxman,4,2007/08
335999,8,VVS Laxman,4,2007/08
335999,9,RG Sharma,4,2007/08
335999,10,Shahid Afridi,4,2007/08
335999,14,RG Sharma,4,2007/08
335999,15,RG Sharma,4,2007/08
335999,15,RG Sharma,4,2007/08
335999,16,RG Sharma,4,2007/08
335999,16,RG Sharma,4,2007/08
335999,17,RG Sharma,4,2007/08
335999,18,RG Sharma,4,2007/08
335999,18,RG Sharma,4,2007/08
335999,18,RG Sharma,4,2007/08
335999,0,SE Marsh,4,2007/08
335999,0,SE Marsh,4,2007/08
335999,1,RR Sarwan,4,2007/08
335999,2,SE Marsh,4,2007/08
335999,2,SE Marsh,4,2007/08
335999,3,RR Sarwan,4,2007/08
335999,7,Yuvraj Singh,4,2007/08
335999,8,SE Marsh,4,2007/08
335999,8,SE Marsh,4,2007/08
335999,9,SE Marsh,4,2007/08
335999,10,SE Marsh,4,2007/08
335999,10,Yuvraj Singh,4,2007/08
335999,10,DPMD Jayawardene,4,2007/08
335999,11,DPMD Jayawardene,4,2007/08
335999,11,DPMD Jayawardene,4,2007/08
335999,12,SE Marsh,4,2007/08
335999,14,DPMD Jayawardene,4,2007/08
335999,14,DPMD Jayawardene,4,2007/08
335999,15,SE Marsh,4,2007/08
335999,16,SE Marsh,4,2007/08
335999,18,DPMD Jayawardene,4,2007/08
336000,0,SA Asnodkar,4,2007/08
336000,1,SA Asnodkar,4,2007/08
336000,2,M Kaif,4,2007/08
336000,2,M Kaif,4,2007/08
336000,3,M Kaif,4,2007/08
336000,4,SA Asnodkar,4,2007/08
336000,5,SA Asnodkar,0,2007/08
336000,7,SA Asnodkar,4,2007/08
336000,8,SA Asnodkar,4,2007/08
336000,8,SA Asnodkar,4,2007/08
336000,8,SA Asnodkar,4,2007/08
336000,9,SA Asnodkar,4,2007/08
336000,9,YK Pathan,4,2007/08
336000,9,YK Pathan,4,2007/08
336000,10,YK Pathan,4,2007/08
336000,10,SA Asnodkar,4,2007/08
336000,10,SA Asnodkar,4,2007/08
336000,11,YK Pathan,4,2007/08
336000,12,YK Pathan,4,2007/08
336000,13,RA Jadeja,4,2007/08
336000,16,RA Jadeja,4,2007/08
336000,17,RA Jadeja,4,2007/08
336000,18,YK Pathan,4,2007/08
336000,0,Salman Butt,4,2007/08
